bikeid,CountOfRenting,SumOfRentedTime,AverageRentTime
29304,1111,627620,564.914491449145
29237,1134,626999,552.909171075838
33566,616,594241,964.676948051948
33654,586,577995,986.339590443686
33652,578,574430,993.823529411765
29216,933,571494,612.533762057878
42264,87,566574,6512.34482758621
33638,625,558832,894.1312
33646,521,552731,1060.90403071017
32831,228,536971,2355.13596491228
33653,576,535085,928.967013888889
33580,555,520521,937.875675675676
33628,614,518878,845.078175895766
33640,652,516582,792.303680981595
33570,616,509778,827.561688311688
33660,654,496753,759.561162079511
33569,712,479057,672.832865168539
33612,644,477426,741.344720496895
33563,661,472362,714.617246596067
33592,585,470188,803.740170940171
31861,625,469822,751.7152
33620,701,469719,670.069900142653
29456,714,469437,657.474789915966
33619,559,465798,833.270125223614
31877,457,461675,1010.22975929978
33604,616,460890,748.198051948052
33641,513,459014,894.764132553606
31683,545,443794,814.300917431193
33682,598,439166,734.391304347826
33668,634,437259,689.682965299685
33679,654,435719,666.237003058104
33579,637,434485,682.080062794349
29493,835,431257,516.475449101796
33590,608,429296,706.078947368421
33621,729,425530,583.717421124829
33625,692,423941,612.631502890174
33681,216,422498,1956.00925925926
33657,690,421716,611.182608695652
37987,757,420173,555.050198150595
33662,605,419936,694.109090909091
33633,581,418154,719.714285714286
33605,658,413799,628.873860182371
31754,502,411526,819.772908366534
33676,648,411510,635.046296296296
33587,658,406541,617.843465045593
42488,62,405533,6540.85483870968
29478,667,404549,606.52023988006
33680,604,404252,669.291390728477
31890,616,403938,655.743506493507
33591,633,401886,634.890995260664
42285,84,398201,4740.4880952381
33599,679,395778,582.883652430044
33622,598,395632,661.591973244147
33656,638,394665,618.597178683386
33648,627,391748,624.797448165869
31833,553,387840,701.338155515371
33606,594,386159,650.099326599327
33614,692,384470,555.592485549133
33581,640,384392,600.6125
33675,535,375087,701.097196261682
33669,625,372768,596.4288
33595,560,371794,663.917857142857
42326,95,371599,3911.56842105263
33603,434,369722,851.89400921659
33626,666,368022,552.585585585586
33665,549,367364,669.151183970856
31717,530,365699,689.998113207547
29625,633,362422,572.546603475513
31908,461,361124,783.349240780911
42385,91,360148,3957.67032967033
33607,621,358251,576.893719806763
33636,571,357759,626.548161120841
42217,25,355676,14227.04
33617,590,355504,602.549152542373
33571,647,354263,547.54714064915
33602,582,349167,599.943298969072
31920,596,348648,584.979865771812
33670,560,346245,618.294642857143
31925,671,344308,513.126676602087
31946,592,342058,577.800675675676
33674,492,339875,690.802845528455
33560,598,338714,566.411371237458
31868,704,337860,479.914772727273
33608,583,334688,574.078902229846
33647,569,334515,587.899824253076
33576,582,331015,568.754295532646
33611,580,330029,569.015517241379
33573,551,329772,598.497277676951
33635,581,324611,558.710843373494
33651,556,321420,578.093525179856
33575,538,320688,596.074349442379
33589,590,318576,539.959322033898
42409,81,316085,3902.28395061728
31719,635,315964,497.581102362205
31753,445,315355,708.662921348315
31739,559,310199,554.91771019678
31686,545,307622,564.444036697248
31766,513,307527,599.46783625731
31151,540,304795,564.435185185185
31954,626,303635,485.039936102236
31802,586,301704,514.853242320819
31859,459,301095,655.980392156863
31949,607,298302,491.436573311367
33598,512,297419,580.896484375
42479,77,297415,3862.53246753247
33557,546,297274,544.457875457876
29585,504,296374,588.043650793651
31711,568,294754,518.933098591549
31907,638,293157,459.493730407524
33588,534,292896,548.494382022472
31680,594,292559,492.523569023569
31825,634,291286,459.441640378549
31918,613,290107,473.257748776509
26176,421,288955,686.353919239905
31728,650,286798,441.227692307692
31934,626,286573,457.784345047923
33650,482,286021,593.404564315353
31836,529,284188,537.217391304348
31811,594,281885,474.553872053872
33568,526,280494,533.25855513308
31779,633,279637,441.764612954186
31681,550,277397,504.358181818182
31687,623,275737,442.595505617978
31731,598,275339,460.433110367893
31760,483,275073,569.509316770186
42369,98,275020,2806.32653061224
31710,620,273519,441.159677419355
31678,464,273313,589.036637931035
31878,519,273191,526.3795761079
31874,602,272843,453.227574750831
31799,541,271568,501.974121996303
31763,549,271544,494.615664845173
33659,462,271504,587.670995670996
33597,461,270807,587.433839479393
33627,476,270428,568.126050420168
31915,557,268324,481.730700179533
31709,600,268237,447.061666666667
31765,591,268082,453.60744500846
33631,130,265751,2044.23846153846
31840,558,265352,475.541218637993
31813,611,264197,432.400981996727
31903,549,263983,480.84335154827
42503,87,263312,3026.57471264368
31708,552,262649,475.813405797102
31684,563,262175,465.674955595027
33630,482,262123,543.823651452282
31735,577,259818,450.29116117851
31689,619,259197,418.735056542811
31690,560,258732,462.021428571429
31750,544,258070,474.393382352941
31700,478,258043,539.838912133891
31843,532,257474,483.973684210526
31705,552,257199,465.940217391304
31842,572,257109,449.491258741259
31762,587,256848,437.560477001704
33556,421,256083,608.273159144893
31772,584,255720,437.876712328767
31675,598,255071,426.540133779264
31706,527,254519,482.95825426945
42178,72,254104,3529.22222222222
31929,534,253575,474.859550561798
31938,538,253325,470.864312267658
31828,542,251930,464.815498154982
31747,517,251085,485.657640232108
