bikeid,CountOfRenting,SumOfRentedTime,AverageRentTime
35155,2798,2550414,911.513223731237
28973,1477,2549446,1726.09749492214
35053,2422,2548415,1052.19446738233
34973,2863,2546948,889.608103388055
33937,2321,2546856,1097.30978026713
34997,2875,2546469,885.728347826087
34020,2772,2546360,918.600288600289
33967,2654,2544621,958.787113790505
35306,2828,2542639,899.09441301273
19409,513,2542373,4955.89278752437
35200,2397,2542317,1060.62453066333
35075,2971,2540432,855.076405250757
35029,2798,2539869,907.744460328806
25173,1109,2538879,2289.34084761046
33968,2928,2538843,867.09118852459
35052,2995,2538430,847.555926544241
38502,797,2537896,3184.31116687578
34346,2728,2536675,929.866202346041
33962,2742,2536052,924.89132020423
34250,2613,2535681,970.409873708381
34025,2635,2535375,962.19165085389
33758,2959,2535075,856.733693815478
35276,2974,2534520,852.225958305313
16556,809,2534208,3132.51915945612
29019,1281,2533424,1977.69242779079
18806,671,2533220,3775.29061102832
34966,2907,2532383,871.132782937737
32247,661,2532344,3831.08018154312
25003,1055,2532032,2400.03033175355
33776,2376,2531634,1065.50252525253
33744,2542,2531594,995.906372934697
33792,2456,2531072,1030.5667752443
32531,1469,2531050,1722.97481279782
34052,2895,2530111,873.958894645941
34365,2295,2529324,1102.10196078431
33439,1219,2529276,2074.87776866284
35051,2879,2529222,878.507120527961
33780,2808,2528766,900.557692307692
34086,2795,2527641,904.343828264759
34165,2478,2526810,1019.69733656174
32645,1410,2524707,1790.57234042553
34168,2907,2524560,868.44169246646
35116,2675,2523870,943.502803738318
33198,1585,2523759,1592.27697160883
33025,1445,2523601,1746.43667820069
33829,2658,2522963,949.196012039127
35167,2752,2522892,916.748546511628
19094,581,2522437,4341.5438898451
34914,2730,2520253,923.169597069597
21146,902,2520191,2794.00332594235
34338,2846,2520110,885.49191848208
35226,3060,2518821,823.144117647059
33850,2529,2518541,995.864373270067
35064,2873,2516081,875.767838496345
33861,2813,2516060,894.44009953786
34221,2660,2514439,945.277819548872
21142,1080,2514133,2327.90092592593
38600,1188,2513949,2116.11868686869
35067,2899,2513376,866.980338047603
35291,2969,2512045,846.091276524082
34911,2823,2511209,889.553312079348
40085,514,2511143,4885.49221789883
34017,2600,2509567,965.218076923077
34838,2794,2509476,898.166070150322
34958,2556,2509391,981.764866979656
34917,2938,2508167,853.698774676651
26504,845,2508103,2968.16923076923
34202,2797,2507382,896.454057919199
34414,2829,2506245,885.911983032874
34097,2494,2505034,1004.4242181235
35164,2434,2505019,1029.17789646672
34960,2913,2504102,859.629934775146
34278,2670,2501942,937.056928838951
34069,2637,2501399,948.577550246492
34275,2915,2500028,857.642538593482
35598,2958,2499477,844.988843813388
35236,2464,2498543,1014.01907467532
34026,2750,2497952,908.346181818182
35233,2849,2497317,876.559143559144
34844,2512,2497051,994.048964968153
35111,2805,2496778,890.116934046346
35278,2891,2496435,863.519543410585
16280,923,2495629,2703.82340195016
17543,871,2494919,2864.43053960964
34118,2947,2494839,846.569053274517
30455,1233,2493359,2022.18896999189
35212,2880,2493124,865.668055555556
39825,1383,2489656,1800.18510484454
35250,2799,2488658,889.123972847446
38704,597,2488619,4168.54103852596
33028,1506,2486984,1651.38379814077
30817,1554,2484986,1599.09009009009
35279,2800,2484770,887.417857142857
35038,2871,2484756,865.467084639499
28090,518,2484214,4795.77992277992
28405,1455,2483667,1706.98762886598
33752,2720,2482267,912.598161764706
26713,1019,2481931,2435.65358194308
34286,2375,2481431,1044.81305263158
34203,2687,2481026,923.344250093041
33929,2903,2480906,854.600757836721
17859,833,2480659,2977.98199279712
38491,1473,2477537,1681.96673455533
33794,2679,2477308,924.713699141471
33762,2498,2476827,991.524019215372
20878,986,2476419,2511.58113590264
18342,1060,2476403,2336.22924528302
34121,1412,2476189,1753.67492917847
