"","stationId","stationName","latitude","longitude","totalHires","manHires","womanHires"
"296","3555","28 St & 41 Ave",40.751047,-73.93797,2311,1771,424
"297","3668","Leonard St & Nassau Ave",40.7239567849954,-73.9498436450958,2300,1534,675
"298","3314","W 95 St & Broadway",40.7937704,-73.971888,2298,1816,325
"299","394","E 9 St & Avenue C",40.72521311,-73.97768752,2288,1572,633
"300","3143","5 Ave & E 78 St",40.7763214218227,-73.9642739295959,2270,1336,749
"301","313","Washington Ave & Park Ave",40.69610226,-73.96751037,2264,1409,742
"302","3508","St Nicholas Ave & Manhattan Ave",40.809725,-73.953149,2239,1670,489
"303","3584","Eastern Pkwy & Franklin Ave",40.6707767,-73.9576801,2238,1675,508
"304","3165","Central Park West & W 72 St",40.7757937668367,-73.9762057363987,2213,1492,454
"305","150","E 2 St & Avenue C",40.7208736,-73.98085795,2211,1314,835
"306","242","Carlton Ave & Flushing Ave",40.697787,-73.973736,2186,1584,503
"307","3101","N 12 St & Bedford Ave",40.72079821,-73.95484712,2164,1248,823
"308","423","W 54 St & 9 Ave",40.76584941,-73.98690506,2131,1510,498
"309","3697","W 64 St & Thelonious Monk Circle",40.7751595343424,-73.9891869574785,2116,1483,582
"310","248","Laight St & Hudson St",40.72185379,-74.00771779,2101,1456,568
"311","3295","Central Park W & W 96 St",40.79127,-73.964839,2088,1155,813
"312","3733","Avenue C & E 18 St",40.730563,-73.973984,2082,1700,322
"313","3718","E 11 St & Avenue B",40.7274642069239,-73.9795041829348,2081,1443,562
"314","509","9 Ave & W 22 St",40.7454973,-74.00197139,2052,1473,512
"315","481","S 3 St & Bedford Ave",40.71260486,-73.96264403,2048,1233,686
"316","389","Broadway & Berry St",40.71044554,-73.96525063,2047,1396,570
"317","241","DeKalb Ave & S Portland Ave",40.68981035,-73.97493121,2028,1359,578
"318","3236","W 42 St & Dyer Ave",40.7589848139963,-73.9937996864319,2021,1440,471
"319","3130","21 St & Queens Plaza North",40.75325964,-73.94335788,2006,1382,512
"320","3420","Douglass St & 3 Ave",40.6802133,-73.98432695,2003,1296,641
"321","398","Atlantic Ave & Furman St",40.69165183,-73.9999786,1974,1025,753
"322","3363","E 102 St & Park Ave",40.7904828,-73.95033068,1972,1345,583
"323","238","Bank St & Washington St",40.7361967,-74.00859207,1971,1212,669
"324","3336","E 97 St & Madison Ave",40.787801,-73.953559,1958,1224,682
"325","308","St James Pl & Oliver St",40.71307916,-73.99851193,1948,1343,500
"326","3175","W 70 St & Amsterdam Ave",40.77748046,-73.98288594,1947,1327,571
"327","3737","Stanton St & Norfolk St",40.720747,-73.986274,1934,1152,672
"328","3615","44 Dr & 21 St",40.748,-73.9460927,1921,1526,351
"329","302","Avenue D & E 3 St",40.72082834,-73.97793172,1919,909,940
"330","3628","Lenox Ave & W 117 St",40.8025566,-73.9490782,1919,1267,567
"331","369","Washington Pl & 6 Ave",40.73224,-74.00026,1914,1395,454
"332","3335","Union St & 4 Ave",40.6772744,-73.98282002,1907,1268,547
"333","410","Suffolk St & Stanton St",40.72066442,-73.98517977,1902,1278,508
"334","3469","India St & West St",40.7318140172097,-73.9599502086639,1901,1239,602
"335","3414","Bergen St & Flatbush Ave",40.6809447234773,-73.9756733179092,1896,1290,481
"336","3110","Meserole Ave & Manhattan Ave",40.72708584,-73.95299117,1883,1326,468
"337","3096","Union Ave & N 12 St",40.71924,-73.95242,1874,1232,557
"338","3734","E 58 St &  1 Ave (NW Corner)",40.759125,-73.962658,1860,1449,335
"339","3087","Metropolitan Ave & Meeker Ave",40.71413311,-73.95234386,1842,1129,617
"340","3360","Amsterdam Ave & W 79 St",40.7829391,-73.9786517,1838,1124,595
"341","250","Lafayette St & Jersey St",40.72456,-73.99565,1832,1309,487
"342","3749","Lexington Ave & E 36 St",40.7475739589548,-73.9788007736206,1832,1393,384
"343","3572","34 Ave & 38 St",40.756913,-73.921631,1813,1309,473
"344","411","E 6 St & Avenue D",40.72228087,-73.97668709,1803,1187,541
"345","364","Lafayette Ave & Classon Ave",40.68900443,-73.96023854,1799,1179,559
"346","3374","Central Park North & Adam Clayton Powell Blvd",40.799484,-73.955613,1794,1090,470
"347","3064","Myrtle Ave & Lewis Ave",40.69681963,-73.93756926,1793,1115,561
