"","stationId","stationName","latitude","longitude","hires"
"184","3145","E 84 St & Park Ave",40.77862688,-73.95772073,1353
"185","3146","E 81 St & 3 Ave",40.77573034,-73.9567526,1001
"186","3148","E 84 St & 1 Ave",40.77565541,-73.95068615,1607
"187","315","South St & Gouverneur Ln",40.70355377,-74.00670227,4088
"188","3150","E 85 St & York Ave",40.77536905,-73.94803392,647
"189","3151","E 81 St & York Ave",40.7728384,-73.94989233,961
"190","3152","3 Ave & E 71 St",40.76873687,-73.96119945,482
"191","3154","E 77 St & 3 Ave",40.77314236,-73.95856158,940
"192","3155","Lexington Ave & E 63 St",40.76440023,-73.96648977,1206
"193","3156","E 72 St & York Ave",40.76663814,-73.95348296,1135
"194","3157","East End Ave & E 86 St",40.77518615,-73.94446054,842
"195","3158","W 63 St & Broadway",40.77163851,-73.98261428,3199
"196","3159","W 67 St & Broadway",40.77492513,-73.98266566,2583
"197","316","Fulton St & William St",40.70955958,-74.00653609,1482
"198","3160","Central Park West & W 76 St",40.77896784,-73.97374737,4034
"199","3161","W 76 St & Columbus Ave",40.7801839724239,-73.9772853255272,1837
"200","3162","W 78 St & Broadway",40.78339981,-73.98093133,1535
"201","3163","Central Park West & W 68 St",40.7734066,-73.97782542,5741
"202","3164","Columbus Ave & W 72 St",40.7770575,-73.97898475,3845
"203","3165","Central Park West & W 72 St",40.7757937668367,-73.9762057363987,7108
"204","3166","Riverside Dr & W 72 St",40.7805779901033,-73.9856243133545,3191
"205","3167","Amsterdam Ave & W 73 St",40.7796680900731,-73.9809304475784,3259
"206","3168","Central Park West & W 85 St",40.78472675,-73.96961715,4964
"207","3169","Riverside Dr & W 82 St",40.78720869,-73.98128127,1735
"208","317","E 6 St & Avenue B",40.72453734,-73.98185424,3038
"209","3170","W 84 St & Columbus Ave",40.78499979,-73.97283406,1739
"210","3171","Amsterdam Ave & W 82 St",40.78524672,-73.97667321,2160
"211","3172","W 74 St & Columbus Ave",40.7785669,-73.97754961,1291
"212","3173","Riverside Blvd & W 67 St",40.777507027548,-73.9888858795166,3540
"213","3175","W 70 St & Amsterdam Ave",40.77748046,-73.98288594,2312
"214","3177","W 84 St & Broadway",40.7867947,-73.977112,1392
